,ATM1
2009-05-01,96
2009-05-02,82
2009-05-03,85
2009-05-04,90
2009-05-05,99
2009-05-06,88
2009-05-07,8
2009-05-08,104
2009-05-09,87
2009-05-10,93
2009-05-11,86
2009-05-12,111
2009-05-13,75
2009-05-14,6
2009-05-15,102
2009-05-16,73
2009-05-17,92
2009-05-18,82
2009-05-19,86
2009-05-20,73
2009-05-21,20
2009-05-22,100
2009-05-23,93
2009-05-24,90
2009-05-25,94
2009-05-26,98
2009-05-27,73
2009-05-28,10
2009-05-29,97
2009-05-30,102
2009-05-31,85
2009-06-01,85
2009-06-02,108
2009-06-03,94
2009-06-04,14
2009-06-05,3
2009-06-06,96
2009-06-07,109
2009-06-08,96
2009-06-09,145
2009-06-10,81
2009-06-11,16
2009-06-12,142
2009-06-13,102
2009-06-14,120
2009-06-15,106
2009-06-16,130
2009-06-17,108
2009-06-18,21
2009-06-19,140
2009-06-20,110
2009-06-21,115
2009-06-22,98
2009-06-23,108
2009-06-24,66
2009-06-25,13
2009-06-26,99
2009-06-27,105
2009-06-28,104
2009-06-29,98
2009-06-30,110
2009-07-01,79
2009-07-02,16
2009-07-03,110
2009-07-04,96
2009-07-05,114
2009-07-06,126
2009-07-07,126
2009-07-08,73
2009-07-09,4
2009-07-10,19
2009-07-11,114
2009-07-12,98
2009-07-13,97
2009-07-14,114
2009-07-15,78
2009-07-16,19
2009-07-17,102
2009-07-18,94
2009-07-19,108
2009-07-20,91
2009-07-21,86
2009-07-22,78
2009-07-23,16
2009-07-24,114
2009-07-25,115
2009-07-26,108
2009-07-27,102
2009-07-28,129
2009-07-29,79
2009-07-30,13
2009-07-31,103
2009-08-01,90
2009-08-02,68
2009-08-03,85
2009-08-04,99
2009-08-05,86
2009-08-06,13
2009-08-07,116
2009-08-08,105
2009-08-09,123
2009-08-10,114
2009-08-11,127
2009-08-12,111
2009-08-13,34
2009-08-14,151
2009-08-15,110
2009-08-16,115
2009-08-17,112
2009-08-18,132
2009-08-19,94
2009-08-20,24
2009-08-21,122
2009-08-22,104
2009-08-23,128
2009-08-24,120
2009-08-25,174
2009-08-26,96
2009-08-27,13
2009-08-28,121
2009-08-29,133
2009-08-30,118
2009-08-31,91
2009-09-01,120
2009-09-02,88
2009-09-03,19
2009-09-04,150
2009-09-05,144
2009-09-06,121
2009-09-07,105
2009-09-08,133
2009-09-09,109
2009-09-10,18
2009-09-11,1
2009-09-12,105
2009-09-13,112
2009-09-14,82
2009-09-15,111
2009-09-16,79
2009-09-17,13
2009-09-18,112
2009-09-19,99
2009-09-20,140
2009-09-21,110
2009-09-22,180
2009-09-23,73
2009-09-24,7
2009-09-25,106
2009-09-26,103
2009-09-27,93
2009-09-28,96
2009-09-29,117
2009-09-30,80
2009-10-01,14
2009-10-02,120
2009-10-03,91
2009-10-04,96
2009-10-05,74
2009-10-06,108
2009-10-07,73
2009-10-08,13
2009-10-09,93
2009-10-10,94
2009-10-11,76
2009-10-12,111
2009-10-13,88
2009-10-14,76
2009-10-15,9
2009-10-16,87
2009-10-17,105
2009-10-18,78
2009-10-19,67
2009-10-20,90
2009-10-21,68
2009-10-22,9
2009-10-23,78
2009-10-24,74
2009-10-25,74
2009-10-26,60
2009-10-27,75
2009-10-28,61
2009-10-29,9
2009-10-30,90
2009-10-31,86
2009-11-01,86
2009-11-02,79
2009-11-03,90
2009-11-04,80
2009-11-05,21
2009-11-06,93
2009-11-07,104
2009-11-08,109
2009-11-09,88
2009-11-10,96
2009-11-11,70
2009-11-12,15
2009-11-13,73
2009-11-14,94
2009-11-15,108
2009-11-16,73
2009-11-17,87
2009-11-18,75
2009-11-19,10
2009-11-20,92
2009-11-21,87
2009-11-22,74
2009-11-23,73
2009-11-24,93
2009-11-25,66
2009-11-26,18
2009-11-27,99
2009-11-28,94
2009-11-29,136
2009-11-30,6
2009-12-01,140
2009-12-02,73
2009-12-03,9
2009-12-04,140
2009-12-05,103
2009-12-06,110
2009-12-07,90
2009-12-08,135
2009-12-09,67
2009-12-10,12
2009-12-11,109
2009-12-12,84
2009-12-13,92
2009-12-14,84
2009-12-15,118
2009-12-16,68
2009-12-17,14
2009-12-18,90
2009-12-19,92
2009-12-20,93
2009-12-21,85
2009-12-22,93
2009-12-23,70
2009-12-24,13
2009-12-25,90
2009-12-26,91
2009-12-27,102
2009-12-28,97
2009-12-29,42
2009-12-30,2
2009-12-31,14
2010-01-01,132
2010-01-02,108
2010-01-03,120
2010-01-04,120
2010-01-05,90
2010-01-06,48
2010-01-07,15
2010-01-08,86
2010-01-09,109
2010-01-10,115
2010-01-11,123
2010-01-12,123
2010-01-13,60
2010-01-14,22
2010-01-15,81
2010-01-16,98
2010-01-17,94
2010-01-18,76
2010-01-19,96
2010-01-20,72
2010-01-21,12
2010-01-22,91
2010-01-23,74
2010-01-24,104
2010-01-25,74
2010-01-26,91
2010-01-27,66
2010-01-28,28
2010-01-29,152
2010-01-30,97
2010-01-31,100
2010-02-01,85
2010-02-02,123
2010-02-03,46
2010-02-04,38
2010-02-05,138
2010-02-06,74
2010-02-07,85
2010-02-08,78
2010-02-09,123
2010-02-10,50
2010-02-11,28
2010-02-12,105
2010-02-13,109
2010-02-14,26
2010-02-15,54
2010-02-16,105
2010-02-17,179
2010-02-18,125
2010-02-19,84
2010-02-20,99
2010-02-21,110
2010-02-22,80
2010-02-23,1
2010-02-24,111
2010-02-25,115
2010-02-26,108
2010-02-27,100
2010-02-28,152
2010-03-01,90
2010-03-02,4
2010-03-03,128
2010-03-04,87
2010-03-05,84
2010-03-06,69
2010-03-07,112
2010-03-08,62
2010-03-09,4
2010-03-10,94
2010-03-11,102
2010-03-12,98
2010-03-13,88
2010-03-14,123
2010-03-15,55
2010-03-16,4
2010-03-17,92
2010-03-18,88
2010-03-19,92
2010-03-20,92
2010-03-21,117
2010-03-22,73
2010-03-23,3
2010-03-24,85
2010-03-25,88
2010-03-26,76
2010-03-27,93
2010-03-28,116
2010-03-29,68
2010-03-30,19
2010-03-31,127
2010-04-01,93
2010-04-02,97
2010-04-03,102
2010-04-04,109
2010-04-05,68
2010-04-06,4
2010-04-07,105
2010-04-08,79
2010-04-09,90
2010-04-10,87
2010-04-11,92
2010-04-12,63
2010-04-13,3
2010-04-14,103
2010-04-15,80
2010-04-16,80
2010-04-17,84
2010-04-18,81
2010-04-19,88
2010-04-20,3
2010-04-21,100
2010-04-22,69
2010-04-23,85
2010-04-24,85
2010-04-25,109
2010-04-26,74
2010-04-27,4
2010-04-28,96
2010-04-29,82
2010-04-30,85
